"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop","cfr","recovery_rate","active_case_rate","tests_per_case","pop_category","testing_category"
"Gibraltar",20550,113,NA,NA,NA,609720,3353,534283,15852213,33704,2,298,0,114467,0.549878345498783,NA,NA,25.9991727493917,"Small (<1M)","High Testing"
"Grenada",19693,238,19358,97,4,173545,2097,182981,1612523,113475,6,477,1,855,1.2085512618697,98.2988879297212,0.492560808409079,9.29167724572183,"Small (<1M)","High Testing"
"Bermuda",18860,165,18685,10,NA,304493,2664,1029558,16622128,61939,3,375,0,161,0.874867444326617,99.0721102863203,0.0530222693531283,54.5895015906681,"Small (<1M)","High Testing"
"South Sudan",18819,147,18115,557,1,1620,13,410280,35313,11618511,617,79037,28,48,0.781125458313407,96.2590998459004,2.95977469578617,21.801370954886,"Large (10-100M)","Low Testing"
"Nicaragua",18491,225,4225,14041,NA,2728,33,NA,NA,6779100,367,30129,NA,2071,1.21680817695095,22.8489535449678,75.9342382780812,NA,"Medium (1-10M)","Unknown"
"Tajikistan",17786,125,17264,397,NA,1786,13,NA,NA,9957464,560,79660,NA,40,0.702799955020803,97.0651073878331,2.23209265714607,NA,"Medium (1-10M)","Unknown"
"Equatorial Guinea",17229,183,16907,139,5,11512,122,365697,244342,1496662,87,8178,4,93,1.06216263277033,98.1310580997156,0.806779267514075,21.2256660282083,"Medium (1-10M)","Medium Testing"
"Monaco",17181,67,NA,NA,NA,431868,1684,78646,1976875,39783,2,594,1,28203,0.389965659740411,NA,NA,4.57749839939468,"Small (<1M)","High Testing"
"Samoa",17006,31,1605,15370,NA,84089,153,187397,926612,202239,12,6524,1,75999,0.18228860402211,9.43784546630601,90.3798659296719,11.0194637186875,"Small (<1M)","Medium Testing"
"Tonga",16950,13,15638,1299,NA,157310,121,535009,4965327,107749,6,8288,0,12056,0.0766961651917404,92.259587020649,7.66371681415929,31.5639528023599,"Small (<1M)","High Testing"
"Marshall Islands",16138,17,16121,0,NA,268711,283,NA,NA,60057,4,3533,NA,NA,0.105341430164828,99.8946585698352,0,NA,"Small (<1M)","Unknown"
"Dominica",16038,74,15964,0,NA,221691,1023,229344,3170187,72344,5,978,0,NA,0.461404165107869,99.5385958348921,0,14.3000374111485,"Small (<1M)","High Testing"
"Djibouti",15690,189,15427,74,NA,15441,186,305941,301094,1016097,65,5376,3,73,1.20458891013384,98.3237731038878,0.47163798597833,19.4991077119184,"Medium (1-10M)","Medium Testing"
"CAR",15440,113,15200,127,2,3078,23,81294,16205,5016678,325,44395,62,25,0.731865284974093,98.4455958549223,0.822538860103627,5.26515544041451,"Medium (1-10M)","Low Testing"
"Gambia",12626,372,12189,65,NA,4935,145,155686,60851,2558482,203,6878,16,25,2.94630128306669,96.5388880088706,0.514810708062728,12.3305876762237,"Medium (1-10M)","Low Testing"
"Saint Martin",12324,63,NA,NA,NA,310194,1586,112382,2828643,39730,3,631,0,273395,0.511197663096397,NA,NA,9.11895488477767,"Small (<1M)","High Testing"
"Vanuatu",12019,14,11976,29,NA,37346,44,24976,77606,321832,27,22988,13,90,0.11648223645894,99.6422331308761,0.241284632664947,2.07804309842749,"Small (<1M)","Low Testing"
"Greenland",11971,21,2761,9189,4,210117,369,164926,2894810,56973,5,2713,0,161287,0.175423941191212,23.0640715061398,76.7605045526689,13.7771280594771,"Small (<1M)","High Testing"
"Yemen",11945,2159,9124,662,NA,383,69,329592,10579,31154867,2608,14430,95,21,18.074508162411,76.3834240267894,5.5420678107995,27.5924654667225,"Large (10-100M)","Low Testing"
"Caribbean Netherlands",11682,38,10476,1168,NA,438398,1426,30126,1130559,26647,2,701,1,43832,0.325286765964732,89.6764252696456,9.99828796438966,2.57883923985619,"Small (<1M)","High Testing"
"Sint Maarten",11051,92,10905,54,NA,251353,2093,62056,1411454,43966,4,478,1,1228,0.832503845805809,98.6788525925256,0.488643561668627,5.6154194190571,"Small (<1M)","High Testing"
"Eritrea",10189,103,10086,0,NA,2782,28,23693,6470,3662244,359,35556,155,NA,1.01089410148199,98.989105898518,0,2.32535086858377,"Medium (1-10M)","Low Testing"
"Niger",9931,312,8890,729,1,381,12,254538,9759,26083660,2626,83601,102,28,3.14167757526936,89.5176719363609,7.34065048836975,25.6306514953177,"Large (10-100M)","Low Testing"
"St. Vincent Grenadines",9674,124,9493,57,NA,86723,1112,114197,1023720,111551,12,900,1,511,1.281786231135,98.1290055819723,0.589208186892702,11.8045275997519,"Small (<1M)","High Testing"
"Guinea-Bissau",9614,177,8929,508,6,4659,86,145231,70385,2063367,215,11657,14,246,1.84106511337633,92.8749739962555,5.28396089036821,15.1061992926981,"Medium (1-10M)","Low Testing"
"Comoros",9109,161,8939,9,NA,10038,177,NA,NA,907419,100,5636,NA,10,1.76748270940828,98.1337139093204,0.0988033812712702,NA,"Small (<1M)","Unknown"
"Antigua and Barbuda",9106,146,8954,6,NA,91509,1467,18901,189943,99509,11,682,5,60,1.60333845815946,98.3307709202723,0.0658906215681968,2.07566439710081,"Small (<1M)","Medium Testing"
"Liberia",8090,295,7783,12,2,1525,56,139824,26356,5305117,656,17983,38,2,3.64647713226205,96.2051915945612,0.148331273176761,17.2835599505562,"Medium (1-10M)","Low Testing"
"Sierra Leone",7779,126,NA,NA,NA,937,15,259958,31296,8306436,1068,65924,32,332,1.61974546856922,NA,NA,33.4179200411364,"Medium (1-10M)","Low Testing"
"Chad",7701,194,4874,2633,NA,442,11,191341,10988,17413580,2261,89761,91,151,2.51915335670692,63.2904817556162,34.1903648876769,24.8462537332814,"Large (10-100M)","Low Testing"
"British Virgin Islands",7392,64,NA,NA,NA,241600,2092,107339,3508269,30596,4,478,0,3236,0.865800865800866,NA,NA,14.5209686147186,"Small (<1M)","High Testing"
"Cook Islands",7203,2,7150,51,NA,409937,114,19690,1120596,17571,2,8786,1,2903,0.027766208524226,99.264195474108,0.708038317367763,2.73358322921005,"Small (<1M)","High Testing"
"Sao Tome and Principe",6778,80,6685,13,NA,29770,351,29600,130008,227679,34,2846,8,57,1.18028917084686,98.6279138388905,0.191796990262614,4.36706993213337,"Small (<1M)","Medium Testing"
"Turks and Caicos",6752,40,6709,3,4,169900,1007,616788,15520193,39741,6,994,0,75,0.592417061611374,99.3631516587678,0.0444312796208531,91.3489336492891,"Small (<1M)","High Testing"
"Saint Kitts and Nevis",6607,48,6559,0,NA,122645,891,126958,2356704,53871,8,1122,0,NA,0.726502194642046,99.273497805358,0,19.2156803390344,"Small (<1M)","High Testing"
"Palau",6290,10,6276,4,NA,344979,548,71434,3917841,18233,3,1823,0,219,0.158982511923688,99.7774244833068,0.0635930047694754,11.3567567567568,"Small (<1M)","High Testing"
"St. Barth",5507,6,NA,NA,NA,553746,603,78646,7908095,9945,2,1658,0,506687,0.108952242600327,NA,NA,14.2810967859088,"Small (<1M)","High Testing"
"Nauru",5393,1,5347,45,NA,494635,92,20509,1881042,10903,2,10903,1,4127,0.0185425551641016,99.1470424624513,0.834414982384573,3.8028926386056,"Small (<1M)","High Testing"
"Kiribati",5085,24,2703,2358,3,41201,194,NA,NA,123419,24,5142,NA,19106,0.471976401179941,53.1563421828909,46.3716814159292,NA,"Small (<1M)","Unknown"
"Anguilla",3904,12,NA,NA,NA,256336,788,51382,3373736,15230,4,1269,0,854,0.307377049180328,NA,NA,13.1613729508197,"Small (<1M)","High Testing"
"Wallis and Futuna",3550,8,438,3104,NA,323256,728,20508,1867419,10982,3,1373,1,282644,0.225352112676056,12.3380281690141,87.4366197183099,5.7769014084507,"Small (<1M)","High Testing"
"Saint Pierre Miquelon",3452,2,2449,1001,NA,599410,347,25400,4410488,5759,2,2880,0,173815,0.0579374275782155,70.9443800695249,28.9976825028969,7.35805330243337,"Small (<1M)","High Testing"
"Tuvalu",2943,1,NA,NA,NA,243909,83,NA,NA,12066,4,12066,NA,243826,0.0339789330615019,NA,NA,NA,"Small (<1M)","Unknown"
"Saint Helena",2166,NA,2,2164,NA,354211,NA,NA,NA,6115,3,NA,NA,353884,NA,0.0923361034164358,99.9076638965836,NA,"Small (<1M)","Unknown"
"Falkland Islands",1930,NA,1930,0,NA,545352,NA,8632,2439107,3539,2,NA,0,NA,NA,100,0,4.47253886010363,"Small (<1M)","High Testing"
"Montserrat",1403,8,1376,19,NA,282578,1611,17762,3577442,4965,4,621,0,3827,0.570206699928724,98.0755523877406,1.35424091233072,12.6600142551675,"Small (<1M)","High Testing"
"Niue",1059,NA,1056,3,NA,652898,NA,NA,NA,1622,2,NA,NA,1850,NA,99.7167138810198,0.28328611898017,NA,"Small (<1M)","Unknown"
"Diamond Princess",712,13,699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82584269662921,98.1741573033708,0,NA,"Unknown","Unknown"
"Tokelau",80,NA,NA,80,NA,58055,NA,NA,NA,1378,17,NA,NA,58055,NA,NA,100,NA,"Small (<1M)","Unknown"
"Vatican City",29,NA,29,0,NA,36295,NA,NA,NA,799,28,NA,NA,NA,NA,100,0,NA,"Small (<1M)","Unknown"
"Western Sahara",10,1,9,0,NA,16,2,NA,NA,626161,62616,626161,NA,NA,10,90,0,NA,"Small (<1M)","Unknown"
"MS Zaandam",9,2,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2222222222222,77.7777777777778,0,NA,"Unknown","Unknown"
"China",503302,5272,379053,118977,NA,347,4,1.6e+08,110461,1448471400,2878,274748,9,82,1.04748242605831,75.3132314197043,23.6392861542374,317.9005845397,"Very Large (>100M)","Medium Testing"
