"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop","cfr","recovery_rate","active_case_rate","tests_per_case","pop_category","testing_category"
"Guatemala",1291293,20289,1269891,1113,5,69484,1092,7593848,408622,18584039,14,916,2,60,1.57121582785626,98.342591495501,0.0861926766427139,5.88080939027781,"Large (10-100M)","Medium Testing"
"Morocco",1278992,16303,NA,NA,NA,33860,432,13001033,344191,37772756,30,2317,3,173,1.27467568209965,NA,NA,10.1650620175889,"Large (10-100M)","Medium Testing"
"Lebanon",1243838,10952,1087587,145299,74,186068,1638,4795578,717380,6684849,5,610,1,21736,0.880500515340422,87.4379943368831,11.6815051477765,3.85546831661358,"Medium (1-10M)","Medium Testing"
"Costa Rica",1238883,9428,NA,NA,NA,239058,1819,4659757,899158,5182354,4,550,1,71154,0.76100810165286,NA,NA,3.76125671270007,"Medium (1-10M)","Medium Testing"
"Bolivia",1212131,22407,1177145,12579,220,101073,1868,2710261,225993,11992656,10,535,4,1049,1.84856257285722,97.1136783070477,1.03775912009511,2.2359472697258,"Large (10-100M)","Medium Testing"
"Tunisia",1153361,29423,NA,NA,NA,95741,2442,5013383,416164,12046656,10,409,2,1157,2.55106597153883,NA,NA,4.34675960085351,"Large (10-100M)","Medium Testing"
"Cuba",1115251,8530,1106660,61,NA,98645,754,14402674,1273936,11305652,10,1325,1,5,0.764850244474114,99.2296801347858,0.00546962074008452,12.9142892496846,"Large (10-100M)","High Testing"
"Ecuador",1070188,36043,1034145,0,NA,59083,1990,3082403,170173,18113361,17,503,6,NA,3.36791292744826,96.6320870725517,0,2.88024440565583,"Large (10-100M)","Medium Testing"
"UAE",1067030,2349,NA,NA,NA,105837,233,200732262,19910389,10081785,9,4292,0,1007,0.220143763530547,NA,NA,188.122416426905,"Large (10-100M)","High Testing"
"Panama",1059893,8727,1051102,64,16,238341,1962,7882622,1772585,4446964,4,510,1,14,0.823385002070964,99.1705766525489,0.00603834538014686,7.43718658392875,"Medium (1-10M)","High Testing"
"Uruguay",1041111,7664,1030944,2503,18,297799,2192,6114822,1749083,3496016,3,456,1,716,0.736136684753115,99.0234470676037,0.240416247643143,5.87336220633535,"Medium (1-10M)","High Testing"
"Mongolia",1011496,2284,1009212,0,NA,299429,676,4030048,1193000,3378078,3,1479,1,NA,0.225804155429186,99.7741958445708,0,3.98424511812207,"Medium (1-10M)","High Testing"
"Nepal",1003450,12031,991322,97,NA,33199,398,6047766,200088,30225582,30,2512,5,3,1.19896357566396,98.7913697742787,0.00966665005730231,6.02697294334546,"Large (10-100M)","Medium Testing"
"Belarus",994037,7118,985592,1327,NA,105381,755,13646641,1446722,9432800,9,1325,1,141,0.716069924962552,99.1504340381696,0.133496036867843,13.728504069768,"Medium (1-10M)","High Testing"
"Latvia",982505,6715,971406,4384,NA,531418,3632,7885792,4265272,1848837,2,275,0,2371,0.68345708164335,98.8703365377275,0.446206380629106,8.02621055363586,"Medium (1-10M)","High Testing"
"Saudi Arabia",841469,9646,NA,NA,NA,23475,269,45481735,1268848,35844909,43,3716,1,109,1.14632862292016,NA,NA,54.0503987669183,"Large (10-100M)","High Testing"
"Paraguay",837602,20155,NA,NA,NA,114648,2759,2657506,363751,7305843,9,362,3,16306,2.40627410154226,NA,NA,3.17275507938138,"Medium (1-10M)","Medium Testing"
"Azerbaijan",835234,10400,824089,745,NA,81089,1010,7748050,752223,10300205,12,990,1,72,1.24516003898309,98.6656434005321,0.0891965604848462,9.27650215388741,"Large (10-100M)","Medium Testing"
"Bahrain",729549,1574,727915,60,NA,408944,882,10948549,6137138,1783983,2,1133,0,34,0.215749730312837,99.7760260105901,0.00822425909705859,15.0072839521403,"Medium (1-10M)","High Testing"
"Cyprus",681110,1365,679745,0,NA,556741,1116,9640118,7879860,1223387,2,896,0,NA,0.200408157272687,99.7995918427273,0,14.1535405441118,"Medium (1-10M)","High Testing"
"Dominican Republic",675890,4384,671316,190,4,61131,397,3740928,338350,11056370,16,2522,3,17,0.648626255751676,99.3232626610839,0.0281110831644202,5.53481779579517,"Large (10-100M)","Medium Testing"
"Sri Lanka",672754,16897,655852,5,NA,31181,783,6486117,300619,21575842,32,1277,3,0.2,2.51161643037425,97.4876403559102,0.000743213715563193,9.64114223029518,"Large (10-100M)","Medium Testing"
"Kuwait",667158,2570,NA,NA,NA,152308,587,8455743,1930391,4380326,7,1704,1,993,0.385216095737441,NA,NA,12.674273560386,"Medium (1-10M)","High Testing"
"Myanmar",641873,19495,620159,2219,NA,11622,353,11711514,212061,55227143,86,2833,5,40,3.0372051792177,96.6170878039737,0.345707016808621,18.2458430250221,"Large (10-100M)","Medium Testing"
"Moldova",635145,12218,NA,NA,NA,158265,3044,3216305,801437,4013171,6,328,1,29599,1.92365522833369,NA,NA,5.06389092254525,"Medium (1-10M)","Medium Testing"
"Estonia",628070,3001,NA,NA,NA,475123,2270,6968103,5271239,1321910,2,440,0,75708,0.477812982629325,NA,NA,11.0944687694047,"Medium (1-10M)","High Testing"
"Palestine",621008,5404,615445,159,NA,116173,1011,3078533,575907,5345541,9,989,2,30,0.870198129492696,99.1041983356092,0.0256035348981011,4.95731616984,"Medium (1-10M)","Medium Testing"
"Venezuela",552695,5856,546537,302,31,18885,200,3359014,114771,29266991,53,4998,9,10,1.05953554853943,98.8858231031582,0.0546413483024091,6.07751834194266,"Large (10-100M)","Medium Testing"
"Egypt",516023,24613,442182,49228,122,4861,232,3693367,34792,106156692,206,4313,29,464,4.76974863523525,85.6903665146709,9.53988485009389,7.15736895448459,"Very Large (>100M)","Low Testing"
"Qatar",514524,690,513687,147,16,172664,232,4065369,1364257,2979915,6,4319,1,49,0.134104531567041,99.8373253725774,0.0285700958555869,7.90122326655316,"Medium (1-10M)","High Testing"
"Libya",507274,6437,500835,2,NA,72048,914,2483848,352782,7040745,14,1094,3,0.3,1.26893946861065,98.7306662671456,0.000394264243781467,4.89646226694055,"Medium (1-10M)","Medium Testing"
"Ethiopia",501157,7574,488171,5412,NA,4148,63,5565340,46066,120812698,241,15951,22,45,1.51130284521617,97.4087960459497,1.07990110883416,11.1049830691779,"Very Large (>100M)","Low Testing"
"Réunion",494595,921,NA,NA,NA,544672,1014,1603660,1766027,908061,2,986,1,82706,0.186212962120523,NA,NA,3.24237001991528,"Small (<1M)","High Testing"
"Honduras",474590,11165,NA,NA,NA,46432,1092,1660662,162472,10221247,22,915,6,32372,2.35255694388841,NA,NA,3.49915084599338,"Large (10-100M)","Medium Testing"
"Armenia",451831,8777,435162,7892,NA,152031,2953,3242901,1091164,2971966,7,339,1,2655,1.94254046313777,96.3107887683669,1.7466707684953,7.17724326130788,"Medium (1-10M)","High Testing"
"Bosnia and Herzegovina",403615,16388,379084,8143,NA,124215,5044,1884721,580036,3249317,8,198,2,2506,4.06030499362016,93.9221783134918,2.01751669288802,4.66960098113301,"Medium (1-10M)","Medium Testing"
"Oman",399449,4628,NA,NA,NA,75028,869,2.5e+07,4695724,5323993,13,1150,0,1907,1.15859596594309,NA,NA,62.5862125077294,"Medium (1-10M)","High Testing"
"Luxembourg",391232,1232,NA,NA,NA,609044,1918,4587145,7140959,642371,2,521,0,114124,0.314902666448552,NA,NA,11.7248716873875,"Small (<1M)","High Testing"
"North Macedonia",350567,9976,337068,3523,NA,168436,4793,2226216,1069626,2081304,6,209,1,1693,2.84567571961993,96.1493808601494,1.00494342023065,6.35032960889074,"Medium (1-10M)","High Testing"
"Zambia",349304,4069,341316,3919,NA,17940,209,4112961,211244,19470234,56,4785,5,201,1.16488789134966,97.7131667544603,1.12194535419005,11.7747320385681,"Large (10-100M)","Medium Testing"
"Kenya",344130,5689,337309,1132,NA,6122,101,3967062,70569,56215221,163,9881,14,20,1.65315433121204,98.0179002121291,0.328945456658821,11.5278005404934,"Large (10-100M)","Low Testing"
"Brunei",343719,225,243601,99893,3,771655,505,717784,1611437,445431,1,1980,1,224261,0.0654604487968369,70.8721368327035,29.0624027184997,2.08828723463061,"Small (<1M)","High Testing"
"Albania",334863,3605,330233,1025,NA,116825,1258,1941032,677173,2866374,9,795,1,358,1.07655966768499,98.6173450037777,0.306095328537342,5.79649588040482,"Medium (1-10M)","Medium Testing"
"Botswana",330638,2801,327049,788,1,135443,1147,2026898,830300,2441162,7,872,1,323,0.84715005534754,98.9145228316165,0.238327113036009,6.13026330911752,"Medium (1-10M)","Medium Testing"
"Montenegro",296542,2846,291794,1902,NA,472238,4532,2769281,4410034,627950,2,221,0,3029,0.959729144606835,98.3988777306419,0.6413931247513,9.33857935806732,"Small (<1M)","High Testing"
"Algeria",272010,6881,183061,82068,NA,5998,152,230960,5093,45350148,167,6591,196,1810,2.52968640858792,67.2993639939708,30.1709495974413,0.849086430645932,"Large (10-100M)","Low Testing"
"Nigeria",267188,3155,259953,4080,11,1233,15,5708974,26339,216746934,811,68700,38,19,1.1808165037352,97.2921688099765,1.52701468628831,21.366880249113,"Very Large (>100M)","Low Testing"
"Zimbabwe",266359,5740,258888,1731,12,17373,374,2525756,164744,15331428,58,2671,6,113,2.15498631546146,97.1951388914961,0.649874793042473,9.48252546375381,"Large (10-100M)","Medium Testing"
"Uzbekistan",253662,1637,241486,10539,23,7378,48,1377915,40077,34382084,136,21003,25,307,0.645346957762692,95.1999116935134,4.15474134872389,5.43209073491497,"Large (10-100M)","Low Testing"
"Afghanistan",234174,7996,211080,15098,NA,5746,196,1390730,34125,40754388,174,5097,29,370,3.41455498902525,90.1381024366497,6.44734257432507,5.93887451211492,"Large (10-100M)","Low Testing"
"Mozambique",233731,2250,228805,2676,11,7064,68,1371127,41437,33089461,142,14706,24,81,0.962645092007479,97.8924490118983,1.14490589609423,5.86626078697306,"Large (10-100M)","Low Testing"
"Martinique",230354,1102,NA,NA,NA,615777,2946,828928,2215870,374087,2,339,0,612553,0.478394123826806,NA,NA,3.59849622754543,"Small (<1M)","High Testing"
"Laos",218970,758,NA,NA,NA,29270,101,1233207,164845,7481023,34,9869,6,28145,0.346166141480568,NA,NA,5.63185367858611,"Medium (1-10M)","Medium Testing"
"Iceland",209906,229,NA,NA,NA,607731,663,1996384,5780036,345393,2,1508,0,387941,0.109096452697874,NA,NA,9.51084771278572,"Small (<1M)","High Testing"
"Kyrgyzstan",206897,2991,196406,7500,131,30750,445,1907195,283460,6728271,33,2250,4,1115,1.44564686776512,94.9293609863845,3.62499214585035,9.21808919414008,"Medium (1-10M)","Medium Testing"
"Guadeloupe",203235,1021,NA,NA,NA,508349,2554,938039,2346306,399794,2,392,0,500168,0.502374098949492,NA,NA,4.61553866213989,"Small (<1M)","High Testing"
"El Salvador",201855,4230,179410,18215,NA,30816,646,2610114,398467,6550389,32,1549,3,2781,2.09556364717248,88.88063213693,9.02380421589755,12.9306383294939,"Medium (1-10M)","Medium Testing"
"Trinidad and Tobago",191496,4390,187078,28,NA,136143,3121,913289,649295,1406585,7,320,2,20,2.29247608305134,97.6929022016126,0.0146217153360906,4.76923277770815,"Medium (1-10M)","Medium Testing"
"Maldives",186694,316,163687,22691,25,345100,584,2213831,4092223,540985,3,1712,0,41944,0.169260929649587,87.6766259226328,12.1541131477177,11.8580725679454,"Small (<1M)","High Testing"
"Namibia",172389,4106,167099,1184,NA,65451,1559,1062663,403460,2633874,15,641,2,450,2.38182250607637,96.9313587293853,0.686818764538341,6.16433183091729,"Medium (1-10M)","Medium Testing"
"Uganda",172149,3632,100431,68086,NA,3554,75,3012408,62198,48432863,281,13335,16,1406,2.10980023119507,58.3395779237753,39.5506218450296,17.4988411201924,"Large (10-100M)","Low Testing"
"Ghana",171889,1462,170425,2,NA,5306,45,2541625,78456,32395450,188,22158,13,0.06,0.850548900744085,99.148287557668,0.00116354158788521,14.7864319415437,"Large (10-100M)","Low Testing"
"Jamaica",156869,3756,NA,NA,NA,52551,1258,1183986,396633,2985094,19,795,3,16712,2.39435452511331,NA,NA,7.54760978905966,"Medium (1-10M)","Medium Testing"
"Cambodia",139103,3056,136044,3,NA,8102,178,3091420,180062,17168639,123,5618,6,0.2,2.19693320776691,97.8009101169637,0.00215667526940469,22.2239635378101,"Large (10-100M)","Medium Testing"
"Rwanda",133518,1468,132039,11,NA,9817,108,6021981,442778,13600464,102,9265,2,0.8,1.0994772240447,98.8922841864018,0.00823858955346845,45.1023906888959,"Large (10-100M)","Medium Testing"
"Cameroon",125379,1974,123280,125,NA,4492,71,1751774,62762,27911548,223,14140,16,4,1.57442633933912,98.3258759441374,0.0996977165235008,13.9718294132191,"Large (10-100M)","Low Testing"
"Malta",121420,885,120149,386,NA,273448,1993,2170600,4888375,444033,4,502,0,869,0.728874979410311,98.9532202273102,0.317904793279526,17.8767913029155,"Small (<1M)","High Testing"
"Barbados",110578,648,108647,1283,NA,383921,2250,814159,2826715,288023,3,444,0,4455,0.58601168406012,98.2537213550616,1.16026696087829,7.36275751053555,"Small (<1M)","High Testing"
"Angola",107327,1937,103419,1971,NA,3064,55,1499795,42818,35027343,326,18083,23,56,1.80476487743066,96.358791357254,1.83644376531534,13.9740698985344,"Large (10-100M)","Low Testing"
"Channel Islands",101717,228,101321,168,NA,576421,1292,1252808,7099551,176463,2,774,0,952,0.224151321804615,99.6106845463394,0.165164131856032,12.3166039108507,"Small (<1M)","High Testing"
"DRC",99338,1468,84489,13381,NA,1043,15,846704,8890,95240792,959,64878,112,140,1.47778292294993,85.0520445348205,13.4701725422296,8.52346534055447,"Large (10-100M)","Low Testing"
"French Guiana",98041,420,11254,86367,6,312065,1337,651257,2072951,314169,3,748,0,274906,0.428392203261901,11.4788710845463,88.0927367121919,6.64270050285085,"Small (<1M)","High Testing"
"Malawi",89535,2686,NA,NA,NA,4437,133,624784,30959,20180839,225,7513,32,16,2.99994415591668,NA,NA,6.97809795052214,"Large (10-100M)","Low Testing"
"Senegal",89053,1971,87024,58,NA,5044,112,1146543,64946,17653671,198,8957,15,3,2.21328871570862,97.7215815301001,0.0651297541913243,12.874838579273,"Large (10-100M)","Low Testing"
"Ivory Coast",88384,835,87497,52,NA,3186,30,1690934,60951,27742298,314,33224,16,2,0.94474112961622,98.996424692252,0.0588341781317886,19.131675416365,"Large (10-100M)","Low Testing"
"Suriname",82588,1408,NA,NA,NA,138378,2359,242207,405822,596831,7,424,2,52623,1.70484816196058,NA,NA,2.93271419576694,"Small (<1M)","Medium Testing"
"New Caledonia",80064,314,NA,NA,NA,275214,1079,98964,340182,290915,4,926,3,498,0.392186250999201,NA,NA,1.23606115107914,"Small (<1M)","Medium Testing"
"French Polynesia",79254,650,NA,NA,NA,278902,2287,NA,NA,284164,4,437,NA,158725,0.820147878971408,NA,NA,NA,"Small (<1M)","Unknown"
"Eswatini",75191,1427,73116,648,NA,63462,1204,1048704,885119,1184817,16,830,1,547,1.89783351730925,97.2403612134431,0.861805269247649,13.9472011277945,"Medium (1-10M)","Medium Testing"
"Guyana",74137,1300,72013,824,NA,93366,1637,733218,923396,794045,11,611,1,1038,1.75351039292121,97.1350337887964,1.11145581828237,9.89004140982236,"Small (<1M)","Medium Testing"
"Belize",71409,688,NA,NA,NA,173243,1669,576016,1397453,412190,6,599,1,1543,0.963463989133023,NA,NA,8.06643420297161,"Small (<1M)","High Testing"
"Fiji",69117,885,67226,1006,NA,75997,973,672883,739866,909466,13,1028,1,1106,1.28043751898954,97.2640594933229,1.45550298768754,9.73541965073716,"Small (<1M)","Medium Testing"
