"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop"
"Costa Rica",1238883,9428,NA,NA,NA,239058,1819,4659757,899158,5182354,4,550,1,71154
"Bolivia",1212131,22407,1177145,12579,220,101073,1868,2710261,225993,11992656,10,535,4,1049
"Tunisia",1153361,29423,NA,NA,NA,95741,2442,5013383,416164,12046656,10,409,2,1157
"Cuba",1115251,8530,1106660,61,NA,98645,754,14402674,1273936,11305652,10,1325,1,5
"Ecuador",1070188,36043,1034145,0,NA,59083,1990,3082403,170173,18113361,17,503,6,NA
"UAE",1067030,2349,NA,NA,NA,105837,233,200732262,19910389,10081785,9,4292,0,1007
"Panama",1059893,8727,1051102,64,16,238341,1962,7882622,1772585,4446964,4,510,1,14
"Uruguay",1041111,7664,1030944,2503,18,297799,2192,6114822,1749083,3496016,3,456,1,716
"Mongolia",1011496,2284,1009212,0,NA,299429,676,4030048,1193000,3378078,3,1479,1,NA
"Nepal",1003450,12031,991322,97,NA,33199,398,6047766,200088,30225582,30,2512,5,3
"Belarus",994037,7118,985592,1327,NA,105381,755,13646641,1446722,9432800,9,1325,1,141
"Latvia",982505,6715,971406,4384,NA,531418,3632,7885792,4265272,1848837,2,275,0,2371
"Saudi Arabia",841469,9646,NA,NA,NA,23475,269,45481735,1268848,35844909,43,3716,1,109
"Paraguay",837602,20155,NA,NA,NA,114648,2759,2657506,363751,7305843,9,362,3,16306
"Azerbaijan",835234,10400,824089,745,NA,81089,1010,7748050,752223,10300205,12,990,1,72
"Bahrain",729549,1574,727915,60,NA,408944,882,10948549,6137138,1783983,2,1133,0,34
"Cyprus",681110,1365,679745,0,NA,556741,1116,9640118,7879860,1223387,2,896,0,NA
"Dominican Republic",675890,4384,671316,190,4,61131,397,3740928,338350,11056370,16,2522,3,17
"Sri Lanka",672754,16897,655852,5,NA,31181,783,6486117,300619,21575842,32,1277,3,0.2
"Kuwait",667158,2570,NA,NA,NA,152308,587,8455743,1930391,4380326,7,1704,1,993
"Myanmar",641873,19495,620159,2219,NA,11622,353,11711514,212061,55227143,86,2833,5,40
"Moldova",635145,12218,NA,NA,NA,158265,3044,3216305,801437,4013171,6,328,1,29599
"Estonia",628070,3001,NA,NA,NA,475123,2270,6968103,5271239,1321910,2,440,0,75708
"Palestine",621008,5404,615445,159,NA,116173,1011,3078533,575907,5345541,9,989,2,30
"Venezuela",552695,5856,546537,302,31,18885,200,3359014,114771,29266991,53,4998,9,10
"Egypt",516023,24613,442182,49228,122,4861,232,3693367,34792,106156692,206,4313,29,464
