"pop_category","n_countries","avg_cases","avg_deaths","avg_cfr","avg_tests_per_million"
"Large (10-100M)",79,4553194.03797468,36883.3164556962,1.82332788016146,1382251.71428571
"Medium (1-10M)",65,972642.476923076,7226.84615384615,1.21034156657288,2275113.11111111
"Small (<1M)",71,59302.8591549296,312.060606060606,0.712758752427757,3405981.81355932
"Very Large (>100M)",14,19829898.2857143,257610.214285714,1.87323699321316,607489.5
